Track,Type,NAME,RENAME,Tissue,Desc,Bed_file,Bam_file
55,CUT&TAG,H3K27ac-cerebrum-PK29-1,C-Cortex-H3K27AC-PK29,Cortex,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
56,CUT&TAG,H3K27me3-cerebrum-PK29-1,C-Cortex-H3K27ME3-PK29,Cortex,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
57,CUT&TAG,H3K4me3-cerebellum-pk29-1,C-Cerebellum-H3K4ME3-PK29,Cerebellum,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
58,CUT&TAG,H3K4me1-cerebellum-pk29-1,C-Cerebellum-H3K4ME1-PK29,Cerebellum,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
59,CUT&TAG,H3K27ac-cerebellum-pk29-1,C-Cerebellum-H3K27AC-PK29,Cerebellum,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
60,CUT&TAG,H3K27me3-cerebellum-pk29-1,C-Cerebellum-H3K27ME3-PK29,Cerebellum,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
61,CUT&TAG,PK32-XN-H3K4ME3,C-Cerebellum-H3K4ME3-PK32,Cerebellum,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
62,CUT&TAG,PK32-XN-H3K4ME1,C-Cerebellum-H3K4ME1-PK32,Cerebellum,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
63,CUT&TAG,PK32-XN-H3K27AC,C-Cerebellum-H3K27AC-PK32,Cerebellum,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
64,CUT&TAG,PK32-XN-H3K27ME3,C-Cerebellum-H3K27ME3-PK32,Cerebellum,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
65,CUT&TAG,PK29-XQN-H3K4ME3-3,C-Hypothalamus-H3K4ME3-PK29,Hypothalamus,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
66,CUT&TAG,PK29-XQN-H3K4ME1-3,C-Hypothalamus-H3K4ME1-PK29,Hypothalamus,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
67,CUT&TAG,PK29-XQN-H3K27AC-3,C-Hypothalamus-H3K27AC-PK29,Hypothalamus,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
68,CUT&TAG,PK29-XQN--H3K27ME3-3,C-Hypothalamus-H3K27ME3-PK29,Hypothalamus,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
69,CUT&TAG,PK32-XQN-H3K4ME3,C-Hypothalamus-H3K4ME3-PK32,Hypothalamus,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
70,CUT&TAG,PK32-XQN-H3K4ME1,C-Hypothalamus-H3K4ME1-PK32,Hypothalamus,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
71,CUT&TAG,PK32-XQN-H3K27AC,C-Hypothalamus-H3K27AC-PK32,Hypothalamus,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
72,CUT&TAG,PK32-XQN-H3K27ME3,C-Hypothalamus-H3K27ME3-PK32,Hypothalamus,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
73,CUT&TAG,PK1-SWM-H3K4ME3,C-Retina-H3K4ME3-PK1,Retina,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
74,CUT&TAG,PK1-SWM-H3K4ME1,C-Retina-H3K4ME1-PK1,Retina,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
75,CUT&TAG,PK1-SWM-H3K27AC,C-Retina-H3K27AC-PK1,Retina,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
76,CUT&TAG,PK1-SWM-H3K27ME3,C-Retina-H3K27ME3-PK1,Retina,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
77,CUT&TAG,PK2-SWM-H3K4ME3,C-Retina-H3K4ME3-PK2,Retina,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
78,CUT&TAG,PK2-SWM-H3K4ME1,C-Retina-H3K4ME1-PK2,Retina,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
79,CUT&TAG,PK2-SWM-H3K27AC,C-Retina-H3K27AC-PK2,Retina,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
80,CUT&TAG,PK2-SWM-H3K27ME3,C-Retina-H3K27ME3-PK2,Retina,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
81,CUT&TAG,PK1-CT-H3K4ME3,C-Pituitary-H3K4ME3-PK1,Pituitary,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
82,CUT&TAG,PK1-CT-H3K4ME1,C-Pituitary-H3K4ME1-PK1,Pituitary,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
83,CUT&TAG,PK1-CT-H3K27AC,C-Pituitary-H3K27AC-PK1,Pituitary,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
84,CUT&TAG,PK1-CT-H3K27ME3,C-Pituitary-H3K27ME3-PK1,Pituitary,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
85,CUT&TAG,PK2-CT-H3K4ME3,C-Pituitary-H3K4ME3-PK2,Pituitary,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
86,CUT&TAG,PK2-CT-H3K4ME1,C-Pituitary-H3K4ME1-PK2,Pituitary,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
87,CUT&TAG,PK2-CT-H3K27AC,C-Pituitary-H3K27AC-PK2,Pituitary,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
88,CUT&TAG,PK2-CT-H3K27ME3,C-Pituitary-H3K27ME3-PK2,Pituitary,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
89,CUT&TAG,PK2-PZhi-H3K4ME3,C-Adipose-H3K4ME3-PK2,Adipose,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
90,CUT&TAG,PK2-PZhi-H3K4ME1,C-Adipose-H3K4ME1-PK2,Adipose,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
91,CUT&TAG,PK2-PZhi-H3K27AC,C-Adipose-H3K27AC-PK2,Adipose,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
92,CUT&TAG,PK2-PZhi-H3K27ME3,C-Adipose-H3K27ME3-PK2,Adipose,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
93,CUT&TAG,H3K4me3-subcutaneous-fat-PK29-1,C-Adipose-H3K4ME3-PK29,Adipose,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
94,CUT&TAG,PK32-PZhi-H3K4ME1,C-Adipose-H3K4ME1-PK32,Adipose,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
95,CUT&TAG,PK32-PZhi-H3K27AC,C-Adipose-H3K27AC-PK32,Adipose,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
96,CUT&TAG,PK32-PZhi-H3K27ME3,C-Adipose-H3K27ME3-PK32,Adipose,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
97,CUT&TAG,PK29-XJ-H3K4ME3,C-Muscle-H3K4ME3-PK29,Muscle,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
98,CUT&TAG,PK29-XJ-H3K4ME1,C-Muscle-H3K4ME1-PK29,Muscle,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
99,CUT&TAG,PK29-XJ-H3K27AC,C-Muscle-H3K27AC-PK29,Muscle,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
100,CUT&TAG,PK29-XJ-H3K27ME3,C-Muscle-H3K27ME3-PK29,Muscle,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
101,CUT&TAG,PK32-XJ-H3K4ME3,C-Muscle-H3K4ME3-PK32,Muscle,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
102,CUT&TAG,PK32-XJ-H3K4ME1,C-Muscle-H3K4ME1-PK32,Muscle,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
103,CUT&TAG,PK32-XJ-H3K27AC,C-Muscle-H3K27AC-PK32,Muscle,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
104,CUT&TAG,PK32-XJ-H3K27ME3,C-Muscle-H3K27ME3-PK32,Muscle,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
105,CUT&TAG,PK29-CB-H3K4ME3,C-Wing-H3K4ME3-PK29,Wing,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
106,CUT&TAG,PK29-CB-H3K4ME1,C-Wing-H3K4ME1-PK29,Wing,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
107,CUT&TAG,PK29-CB-H3K27AC,C-Wing-H3K27AC-PK29,Wing,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
108,CUT&TAG,PK29-CB-H3K27ME3,C-Wing-H3K27ME3-PK29,Wing,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
109,CUT&TAG,PK32-CB-H3K4ME3,C-Wing-H3K4ME3-PK32,Wing,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
110,CUT&TAG,PK32-CB-H3K4ME1,C-Wing-H3K4ME1-PK32,Wing,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
111,CUT&TAG,PK32-CB-H3K27AC,C-Wing-H3K27AC-PK32,Wing,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
112,CUT&TAG,PK32-CB-H3K27ME3,C-Wing-H3K27ME3-PK32,Wing,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
113,CUT&TAG,PK29-QN-H3K4ME3,C-Airsac-H3K4ME3-PK29,Airsac,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
114,CUT&TAG,PK29-QN-H3K4ME1,C-Airsac-H3K4ME1-PK29,Airsac,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
115,CUT&TAG,PK29-QN-H3K27AC,C-Airsac-H3K27AC-PK29,Airsac,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
116,CUT&TAG,PK29-QN-H3K27ME3,C-Airsac-H3K27ME3-PK29,Airsac,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
117,CUT&TAG,PK32-QN-H3K4ME3,C-Airsac-H3K4ME3-PK32,Airsac,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
118,CUT&TAG,PK32-QN-H3K4ME1,C-Airsac-H3K4ME1-PK32,Airsac,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
119,CUT&TAG,PK32-QN-H3K27AC,C-Airsac-H3K27AC-PK32,Airsac,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
120,CUT&TAG,PK32-QN-H3K27ME3,C-Airsac-H3K27ME3-PK32,Airsac,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
121,CUT&TAG,H3K4me3-lung-PK29-1,C-Lung-H3K4ME3-PK29,Lung,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
122,CUT&TAG,H3K4me1-lung-PK29-1,C-Lung-H3K4ME1-PK29,Lung,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
123,CUT&TAG,H3K27ac-lung-PK29-1,C-Lung-H3K27AC-PK29,Lung,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
124,CUT&TAG,H3K27me3-lung-PK29-1,C-Lung-H3K27ME3-PK29,Lung,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
125,CUT&TAG,PK32-F-H3K4ME3,C-Lung-H3K4ME3-PK32,Lung,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
126,CUT&TAG,PK32-F-H3K4ME1,C-Lung-H3K4ME1-PK32,Lung,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
127,CUT&TAG,PK32-F-H3K27AC,C-Lung-H3K27AC-PK32,Lung,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
128,CUT&TAG,PK32-F-H3K27ME3,C-Lung-H3K27ME3-PK32,Lung,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
129,CUT&TAG,H3K4me3-spleen-PK29-1,C-Spleen-H3K4ME3-PK29,Spleen,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
130,CUT&TAG,H3K4me1-spleen-PK29-1,C-Spleen-H3K4ME1-PK29,Spleen,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
131,CUT&TAG,H3K27ac-spleen-PK29-1,C-Spleen-H3K27AC-PK29,Spleen,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
132,CUT&TAG,H3K27me3-spleen-PK29-1,C-Spleen-H3K27ME3-PK29,Spleen,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
133,CUT&TAG,PK32-PZa-H3K4ME3,C-Spleen-H3K4ME3-PK32,Spleen,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
134,CUT&TAG,PK32-PZa-H3K4ME1,C-Spleen-H3K4ME1-PK32,Spleen,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
135,CUT&TAG,PK32-PZa-H3K27AC,C-Spleen-H3K27AC-PK32,Spleen,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
136,CUT&TAG,PK32-PZa-H3K27ME3,C-Spleen-H3K27ME3-PK32,Spleen,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
137,CUT&TAG,PK29-XX-H3K4ME3,C-Thymus-H3K4ME3-PK29,Thymus,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
138,CUT&TAG,PK29-XX-H3K4ME1,C-Thymus-H3K4ME1-PK29,Thymus,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
139,CUT&TAG,PK29-XX-H3K27AC,C-Thymus-H3K27AC-PK29,Thymus,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
140,CUT&TAG,PK29-XX-H3K27ME3,C-Thymus-H3K27ME3-PK29,Thymus,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
141,CUT&TAG,PK32-XX-H3K4ME3,C-Thymus-H3K4ME3-PK32,Thymus,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
142,CUT&TAG,PK32-XX-H3K4ME1,C-Thymus-H3K4ME1-PK32,Thymus,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
143,CUT&TAG,PK32-XX-H3K27AC,C-Thymus-H3K27AC-PK32,Thymus,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
144,CUT&TAG,PK32-XX-H3K27ME3,C-Thymus-H3K27ME3-PK32,Thymus,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
145,CUT&TAG,H3K4me3-bursa-fabricius-PK29-1,C-Bursa-H3K4ME3-PK29,Bursa,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
146,CUT&TAG,H3K4me1-bursa-fabricius-PK29-1,C-Bursa-H3K4ME1-PK29,Bursa,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
147,CUT&TAG,H3K27ac-bursa-fabricius-PK29-1,C-Bursa-H3K27AC-PK29,Bursa,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
148,CUT&TAG,H3K27me3-bursa-fabricius-PK29-1,C-Bursa-H3K27ME3-PK29,Bursa,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
149,CUT&TAG,PK32-FSN-H3K4ME3,C-Bursa-H3K4ME3-PK32,Bursa,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
150,CUT&TAG,PK32-FSN-H3K4ME1,C-Bursa-H3K4ME1-PK32,Bursa,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
151,CUT&TAG,PK32-FSN-H3K27AC,C-Bursa-H3K27AC-PK32,Bursa,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
152,CUT&TAG,PK32-FSN-H3K27ME3,C-Bursa-H3K27ME3-PK32,Bursa,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
