Track,Type,NAME,RENAME,Tissue,AS_file,Desc
58,CUT&TAG,H3K4me1-cerebellum-pk29-1,C-Cerebellum-H3K4ME1-PK29,Cerebellum,/path/to/data/Epigenomes/Duck/allele-specific_imbalance/duck_epi_asi/C-Cerebellum-H3K4ME1-PK29_AS_significant_final.txt,
59,CUT&TAG,H3K27ac-cerebellum-pk29-1,C-Cerebellum-H3K27AC-PK29,Cerebellum,/path/to/data/Epigenomes/Duck/allele-specific_imbalance/duck_epi_asi/C-Cerebellum-H3K27AC-PK29_AS_significant_final.txt,
60,CUT&TAG,H3K27me3-cerebellum-pk29-1,C-Cerebellum-H3K27ME3-PK29,Cerebellum,/path/to/data/Epigenomes/Duck/allele-specific_imbalance/duck_epi_asi/C-Cerebellum-H3K27ME3-PK29_AS_significant_final.txt,
61,CUT&TAG,PK32-XN-H3K4ME3,C-Cerebellum-H3K4ME3-PK32,Cerebellum,/path/to/data/Epigenomes/Duck/allele-specific_imbalance/duck_epi_asi/C-Cerebellum-H3K4ME3-PK32_AS_significant_final.txt,
62,CUT&TAG,PK32-XN-H3K4ME1,C-Cerebellum-H3K4ME1-PK32,Cerebellum,/path/to/data/Epigenomes/Duck/allele-specific_imbalance/duck_epi_asi/C-Cerebellum-H3K4ME1-PK32_AS_significant_final.txt,
63,CUT&TAG,PK32-XN-H3K27AC,C-Cerebellum-H3K27AC-PK32,Cerebellum,/path/to/data/Epigenomes/Duck/allele-specific_imbalance/duck_epi_asi/C-Cerebellum-H3K27AC-PK32_AS_significant_final.txt,
64,CUT&TAG,PK32-XN-H3K27ME3,C-Cerebellum-H3K27ME3-PK32,Cerebellum,/path/to/data/Epigenomes/Duck/allele-specific_imbalance/duck_epi_asi/C-Cerebellum-H3K27ME3-PK32_AS_significant_final.txt,
65,CUT&TAG,PK29-XQN-H3K4ME3-3,C-Hypothalamus-H3K4ME3-PK29,Hypothalamus,/path/to/data/Epigenomes/Duck/allele-specific_imbalance/duck_epi_asi/C-Hypothalamus-H3K4ME3-PK29_AS_significant_final.txt,
66,CUT&TAG,PK29-XQN-H3K4ME1-3,C-Hypothalamus-H3K4ME1-PK29,Hypothalamus,/path/to/data/Epigenomes/Duck/allele-specific_imbalance/duck_epi_asi/C-Hypothalamus-H3K4ME1-PK29_AS_significant_final.txt,
67,CUT&TAG,PK29-XQN-H3K27AC-3,C-Hypothalamus-H3K27AC-PK29,Hypothalamus,/path/to/data/Epigenomes/Duck/allele-specific_imbalance/duck_epi_asi/C-Hypothalamus-H3K27AC-PK29_AS_significant_final.txt,
68,CUT&TAG,PK29-XQN--H3K27ME3-3,C-Hypothalamus-H3K27ME3-PK29,Hypothalamus,/path/to/data/Epigenomes/Duck/allele-specific_imbalance/duck_epi_asi/C-Hypothalamus-H3K27ME3-PK29_AS_significant_final.txt,
69,CUT&TAG,PK32-XQN-H3K4ME3,C-Hypothalamus-H3K4ME3-PK32,Hypothalamus,/path/to/data/Epigenomes/Duck/allele-specific_imbalance/duck_epi_asi/C-Hypothalamus-H3K4ME3-PK32_AS_significant_final.txt,
70,CUT&TAG,PK32-XQN-H3K4ME1,C-Hypothalamus-H3K4ME1-PK32,Hypothalamus,/path/to/data/Epigenomes/Duck/allele-specific_imbalance/duck_epi_asi/C-Hypothalamus-H3K4ME1-PK32_AS_significant_final.txt,
71,CUT&TAG,PK32-XQN-H3K27AC,C-Hypothalamus-H3K27AC-PK32,Hypothalamus,/path/to/data/Epigenomes/Duck/allele-specific_imbalance/duck_epi_asi/C-Hypothalamus-H3K27AC-PK32_AS_significant_final.txt,
72,CUT&TAG,PK32-XQN-H3K27ME3,C-Hypothalamus-H3K27ME3-PK32,Hypothalamus,/path/to/data/Epigenomes/Duck/allele-specific_imbalance/duck_epi_asi/C-Hypothalamus-H3K27ME3-PK32_AS_significant_final.txt,
73,CUT&TAG,PK1-SWM-H3K4ME3,C-Retina-H3K4ME3-PK1,Retina,/path/to/data/Epigenomes/Duck/allele-specific_imbalance/duck_epi_asi/C-Retina-H3K4ME3-PK1_AS_significant_final.txt,
74,CUT&TAG,PK1-SWM-H3K4ME1,C-Retina-H3K4ME1-PK1,Retina,/path/to/data/Epigenomes/Duck/allele-specific_imbalance/duck_epi_asi/C-Retina-H3K4ME1-PK1_AS_significant_final.txt,
75,CUT&TAG,PK1-SWM-H3K27AC,C-Retina-H3K27AC-PK1,Retina,/path/to/data/Epigenomes/Duck/allele-specific_imbalance/duck_epi_asi/C-Retina-H3K27AC-PK1_AS_significant_final.txt,
76,CUT&TAG,PK1-SWM-H3K27ME3,C-Retina-H3K27ME3-PK1,Retina,/path/to/data/Epigenomes/Duck/allele-specific_imbalance/duck_epi_asi/C-Retina-H3K27ME3-PK1_AS_significant_final.txt,
77,CUT&TAG,PK2-SWM-H3K4ME3,C-Retina-H3K4ME3-PK2,Retina,/path/to/data/Epigenomes/Duck/allele-specific_imbalance/duck_epi_asi/C-Retina-H3K4ME3-PK2_AS_significant_final.txt,
78,CUT&TAG,PK2-SWM-H3K4ME1,C-Retina-H3K4ME1-PK2,Retina,/path/to/data/Epigenomes/Duck/allele-specific_imbalance/duck_epi_asi/C-Retina-H3K4ME1-PK2_AS_significant_final.txt,
79,CUT&TAG,PK2-SWM-H3K27AC,C-Retina-H3K27AC-PK2,Retina,/path/to/data/Epigenomes/Duck/allele-specific_imbalance/duck_epi_asi/C-Retina-H3K27AC-PK2_AS_significant_final.txt,
80,CUT&TAG,PK2-SWM-H3K27ME3,C-Retina-H3K27ME3-PK2,Retina,/path/to/data/Epigenomes/Duck/allele-specific_imbalance/duck_epi_asi/C-Retina-H3K27ME3-PK2_AS_significant_final.txt,
81,CUT&TAG,PK1-CT-H3K4ME3,C-Pituitary-H3K4ME3-PK1,Pituitary,/path/to/data/Epigenomes/Duck/allele-specific_imbalance/duck_epi_asi/C-Pituitary-H3K4ME3-PK1_AS_significant_final.txt,
82,CUT&TAG,PK1-CT-H3K4ME1,C-Pituitary-H3K4ME1-PK1,Pituitary,/path/to/data/Epigenomes/Duck/allele-specific_imbalance/duck_epi_asi/C-Pituitary-H3K4ME1-PK1_AS_significant_final.txt,
83,CUT&TAG,PK1-CT-H3K27AC,C-Pituitary-H3K27AC-PK1,Pituitary,/path/to/data/Epigenomes/Duck/allele-specific_imbalance/duck_epi_asi/C-Pituitary-H3K27AC-PK1_AS_significant_final.txt,
84,CUT&TAG,PK1-CT-H3K27ME3,C-Pituitary-H3K27ME3-PK1,Pituitary,/path/to/data/Epigenomes/Duck/allele-specific_imbalance/duck_epi_asi/C-Pituitary-H3K27ME3-PK1_AS_significant_final.txt,
85,CUT&TAG,PK2-CT-H3K4ME3,C-Pituitary-H3K4ME3-PK2,Pituitary,/path/to/data/Epigenomes/Duck/allele-specific_imbalance/duck_epi_asi/C-Pituitary-H3K4ME3-PK2_AS_significant_final.txt,
86,CUT&TAG,PK2-CT-H3K4ME1,C-Pituitary-H3K4ME1-PK2,Pituitary,/path/to/data/Epigenomes/Duck/allele-specific_imbalance/duck_epi_asi/C-Pituitary-H3K4ME1-PK2_AS_significant_final.txt,
87,CUT&TAG,PK2-CT-H3K27AC,C-Pituitary-H3K27AC-PK2,Pituitary,/path/to/data/Epigenomes/Duck/allele-specific_imbalance/duck_epi_asi/C-Pituitary-H3K27AC-PK2_AS_significant_final.txt,
88,CUT&TAG,PK2-CT-H3K27ME3,C-Pituitary-H3K27ME3-PK2,Pituitary,/path/to/data/Epigenomes/Duck/allele-specific_imbalance/duck_epi_asi/C-Pituitary-H3K27ME3-PK2_AS_significant_final.txt,
89,CUT&TAG,PK2-PZhi-H3K4ME3,C-Adipose-H3K4ME3-PK2,Adipose,/path/to/data/Epigenomes/Duck/allele-specific_imbalance/duck_epi_asi/C-Adipose-H3K4ME3-PK2_AS_significant_final.txt,
90,CUT&TAG,PK2-PZhi-H3K4ME1,C-Adipose-H3K4ME1-PK2,Adipose,/path/to/data/Epigenomes/Duck/allele-specific_imbalance/duck_epi_asi/C-Adipose-H3K4ME1-PK2_AS_significant_final.txt,
91,CUT&TAG,PK2-PZhi-H3K27AC,C-Adipose-H3K27AC-PK2,Adipose,/path/to/data/Epigenomes/Duck/allele-specific_imbalance/duck_epi_asi/C-Adipose-H3K27AC-PK2_AS_significant_final.txt,
92,CUT&TAG,PK2-PZhi-H3K27ME3,C-Adipose-H3K27ME3-PK2,Adipose,/path/to/data/Epigenomes/Duck/allele-specific_imbalance/duck_epi_asi/C-Adipose-H3K27ME3-PK2_AS_significant_final.txt,
93,CUT&TAG,H3K4me3-subcutaneous-fat-PK29-1,C-Adipose-H3K4ME3-PK29,Adipose,/path/to/data/Epigenomes/Duck/allele-specific_imbalance/duck_epi_asi/C-Adipose-H3K4ME3-PK29_AS_significant_final.txt,
94,CUT&TAG,PK32-PZhi-H3K4ME1,C-Adipose-H3K4ME1-PK32,Adipose,/path/to/data/Epigenomes/Duck/allele-specific_imbalance/duck_epi_asi/C-Adipose-H3K4ME1-PK32_AS_significant_final.txt,
95,CUT&TAG,PK32-PZhi-H3K27AC,C-Adipose-H3K27AC-PK32,Adipose,/path/to/data/Epigenomes/Duck/allele-specific_imbalance/duck_epi_asi/C-Adipose-H3K27AC-PK32_AS_significant_final.txt,
96,CUT&TAG,PK32-PZhi-H3K27ME3,C-Adipose-H3K27ME3-PK32,Adipose,/path/to/data/Epigenomes/Duck/allele-specific_imbalance/duck_epi_asi/C-Adipose-H3K27ME3-PK32_AS_significant_final.txt,
97,CUT&TAG,PK29-XJ-H3K4ME3,C-Muscle-H3K4ME3-PK29,Muscle,/path/to/data/Epigenomes/Duck/allele-specific_imbalance/duck_epi_asi/C-Muscle-H3K4ME3-PK29_AS_significant_final.txt,
98,CUT&TAG,PK29-XJ-H3K4ME1,C-Muscle-H3K4ME1-PK29,Muscle,/path/to/data/Epigenomes/Duck/allele-specific_imbalance/duck_epi_asi/C-Muscle-H3K4ME1-PK29_AS_significant_final.txt,
99,CUT&TAG,PK29-XJ-H3K27AC,C-Muscle-H3K27AC-PK29,Muscle,/path/to/data/Epigenomes/Duck/allele-specific_imbalance/duck_epi_asi/C-Muscle-H3K27AC-PK29_AS_significant_final.txt,
100,CUT&TAG,PK29-XJ-H3K27ME3,C-Muscle-H3K27ME3-PK29,Muscle,/path/to/data/Epigenomes/Duck/allele-specific_imbalance/duck_epi_asi/C-Muscle-H3K27ME3-PK29_AS_significant_final.txt,
101,CUT&TAG,PK32-XJ-H3K4ME3,C-Muscle-H3K4ME3-PK32,Muscle,/path/to/data/Epigenomes/Duck/allele-specific_imbalance/duck_epi_asi/C-Muscle-H3K4ME3-PK32_AS_significant_final.txt,
102,CUT&TAG,PK32-XJ-H3K4ME1,C-Muscle-H3K4ME1-PK32,Muscle,/path/to/data/Epigenomes/Duck/allele-specific_imbalance/duck_epi_asi/C-Muscle-H3K4ME1-PK32_AS_significant_final.txt,
103,CUT&TAG,PK32-XJ-H3K27AC,C-Muscle-H3K27AC-PK32,Muscle,/path/to/data/Epigenomes/Duck/allele-specific_imbalance/duck_epi_asi/C-Muscle-H3K27AC-PK32_AS_significant_final.txt,
104,CUT&TAG,PK32-XJ-H3K27ME3,C-Muscle-H3K27ME3-PK32,Muscle,/path/to/data/Epigenomes/Duck/allele-specific_imbalance/duck_epi_asi/C-Muscle-H3K27ME3-PK32_AS_significant_final.txt,
105,CUT&TAG,PK29-CB-H3K4ME3,C-Wing-H3K4ME3-PK29,Wing,/path/to/data/Epigenomes/Duck/allele-specific_imbalance/duck_epi_asi/C-Wing-H3K4ME3-PK29_AS_significant_final.txt,
106,CUT&TAG,PK29-CB-H3K4ME1,C-Wing-H3K4ME1-PK29,Wing,/path/to/data/Epigenomes/Duck/allele-specific_imbalance/duck_epi_asi/C-Wing-H3K4ME1-PK29_AS_significant_final.txt,
107,CUT&TAG,PK29-CB-H3K27AC,C-Wing-H3K27AC-PK29,Wing,/path/to/data/Epigenomes/Duck/allele-specific_imbalance/duck_epi_asi/C-Wing-H3K27AC-PK29_AS_significant_final.txt,
108,CUT&TAG,PK29-CB-H3K27ME3,C-Wing-H3K27ME3-PK29,Wing,/path/to/data/Epigenomes/Duck/allele-specific_imbalance/duck_epi_asi/C-Wing-H3K27ME3-PK29_AS_significant_final.txt,
109,CUT&TAG,PK32-CB-H3K4ME3,C-Wing-H3K4ME3-PK32,Wing,/path/to/data/Epigenomes/Duck/allele-specific_imbalance/duck_epi_asi/C-Wing-H3K4ME3-PK32_AS_significant_final.txt,
110,CUT&TAG,PK32-CB-H3K4ME1,C-Wing-H3K4ME1-PK32,Wing,/path/to/data/Epigenomes/Duck/allele-specific_imbalance/duck_epi_asi/C-Wing-H3K4ME1-PK32_AS_significant_final.txt,
111,CUT&TAG,PK32-CB-H3K27AC,C-Wing-H3K27AC-PK32,Wing,/path/to/data/Epigenomes/Duck/allele-specific_imbalance/duck_epi_asi/C-Wing-H3K27AC-PK32_AS_significant_final.txt,
112,CUT&TAG,PK32-CB-H3K27ME3,C-Wing-H3K27ME3-PK32,Wing,/path/to/data/Epigenomes/Duck/allele-specific_imbalance/duck_epi_asi/C-Wing-H3K27ME3-PK32_AS_significant_final.txt,
113,CUT&TAG,PK29-QN-H3K4ME3,C-Airsac-H3K4ME3-PK29,Airsac,/path/to/data/Epigenomes/Duck/allele-specific_imbalance/duck_epi_asi/C-Airsac-H3K4ME3-PK29_AS_significant_final.txt,
114,CUT&TAG,PK29-QN-H3K4ME1,C-Airsac-H3K4ME1-PK29,Airsac,/path/to/data/Epigenomes/Duck/allele-specific_imbalance/duck_epi_asi/C-Airsac-H3K4ME1-PK29_AS_significant_final.txt,
115,CUT&TAG,PK29-QN-H3K27AC,C-Airsac-H3K27AC-PK29,Airsac,/path/to/data/Epigenomes/Duck/allele-specific_imbalance/duck_epi_asi/C-Airsac-H3K27AC-PK29_AS_significant_final.txt,
116,CUT&TAG,PK29-QN-H3K27ME3,C-Airsac-H3K27ME3-PK29,Airsac,/path/to/data/Epigenomes/Duck/allele-specific_imbalance/duck_epi_asi/C-Airsac-H3K27ME3-PK29_AS_significant_final.txt,
117,CUT&TAG,PK32-QN-H3K4ME3,C-Airsac-H3K4ME3-PK32,Airsac,/path/to/data/Epigenomes/Duck/allele-specific_imbalance/duck_epi_asi/C-Airsac-H3K4ME3-PK32_AS_significant_final.txt,
118,CUT&TAG,PK32-QN-H3K4ME1,C-Airsac-H3K4ME1-PK32,Airsac,/path/to/data/Epigenomes/Duck/allele-specific_imbalance/duck_epi_asi/C-Airsac-H3K4ME1-PK32_AS_significant_final.txt,
119,CUT&TAG,PK32-QN-H3K27AC,C-Airsac-H3K27AC-PK32,Airsac,/path/to/data/Epigenomes/Duck/allele-specific_imbalance/duck_epi_asi/C-Airsac-H3K27AC-PK32_AS_significant_final.txt,
120,CUT&TAG,PK32-QN-H3K27ME3,C-Airsac-H3K27ME3-PK32,Airsac,/path/to/data/Epigenomes/Duck/allele-specific_imbalance/duck_epi_asi/C-Airsac-H3K27ME3-PK32_AS_significant_final.txt,
121,CUT&TAG,H3K4me3-lung-PK29-1,C-Lung-H3K4ME3-PK29,Lung,/path/to/data/Epigenomes/Duck/allele-specific_imbalance/duck_epi_asi/C-Lung-H3K4ME3-PK29_AS_significant_final.txt,
122,CUT&TAG,H3K4me1-lung-PK29-1,C-Lung-H3K4ME1-PK29,Lung,/path/to/data/Epigenomes/Duck/allele-specific_imbalance/duck_epi_asi/C-Lung-H3K4ME1-PK29_AS_significant_final.txt,
123,CUT&TAG,H3K27ac-lung-PK29-1,C-Lung-H3K27AC-PK29,Lung,/path/to/data/Epigenomes/Duck/allele-specific_imbalance/duck_epi_asi/C-Lung-H3K27AC-PK29_AS_significant_final.txt,
124,CUT&TAG,H3K27me3-lung-PK29-1,C-Lung-H3K27ME3-PK29,Lung,/path/to/data/Epigenomes/Duck/allele-specific_imbalance/duck_epi_asi/C-Lung-H3K27ME3-PK29_AS_significant_final.txt,
